,Key,Value
0,MLS#:,09050593
1,ListPrice:,"$283,215"
2,Status:,RACT
3,ListDate:,09/28/2015
4,OrigListPrice:,"$289,215"
5,Area:,540 
6,ListDtRec:,09/29/2015
7,SoldPrice:,
8,,SPIncl. Parking:
9,Address:,"3307  Rosecroft Ln , Naperville, Illinois 60564"
10,Directions:,"RT 59 TO DEERING BAY DRIVE - NORTH TO ROSECROFT LN, EAST TO HOME"
11,Lst.Mkt.Time:,87
12,Closed:,Contract:
13,Points:,OffMkt:
14,Financing:,Contingency:
15,YearBuilt:,2001
16,BltBefore78:,No
17,Curr.Leased:,"No
					 "
18,Dimensions:,COMMON
19,,Ownership:
20,Fee Simple w/ HO Assn.,Subdivision:
21,Heatherstone,Model:
22,CorpLimits:,Naperville
23,Township:,Wheatland
24,County:,Will
25,Coordinates:,"
												N: S: E: W:
					"
26,,#Fireplaces:
27,1,Rooms:
28,7,Bathrooms (Full/Half):
29,2/1,Parking:
30,Garage,Bedrooms:
31,2,MasterBath:
32,Full,#Spaces:
33,"
													Gar:2																		",Basement:
34,Full,Bsmnt.Bath:
35,No,ParkingIncl. InPrice:
36,Waterfront:,No
37,AppxSF:,1776
38,SFSource:,Assessor
39,TotalUnits:,6
40,UnitFloorLvl.:,1
41,#Stories:,2
42,0,%Own.Occ.:
43,%Cmn.Own.:,Fees/Approvals:
