Key,Value
MLS#:,09050593
ListPrice:,"$283,215"
Status:,09/28/2015
ListDate:,09/28/2015
OrigListPrice:,"$289,215"
Area:,540
ListDtRec:,09/29/2015
SoldPrice:,
SPIncl. Parking:,
Address:,"3307  Rosecroft Ln , Naperville, Illinois 60564"
Directions:,"RT 59 TO DEERING BAY DRIVE - NORTH TO ROSECROFT LN, EAST TO HOME"
Lst.Mkt.Time:,87
Closed:,
Contract:,
Points:,
OffMkt:,
Financing:,
Contingency:,
YearBuilt:,2001
BltBefore78:,No
Curr.Leased:,No
Dimensions:,COMMON
,
Ownership:,Fee Simple w/ HO Assn.
Subdivision:,Heatherstone
Model:,
CorpLimits:,Naperville
Township:,Wheatland
County:,Will
Coordinates:,N: S: E: W:
,
#Fireplaces:,1
Rooms:,7
Bathrooms (Full/Half):,2/1
Parking:,Garage
Bedrooms:,2
MasterBath:,Full
#Spaces:,Gar:2
Basement:,Full
Bsmnt.Bath:,No
ParkingIncl. InPrice:,
Waterfront:,No
AppxSF:,1776
SFSource:,Assessor
TotalUnits:,6
UnitFloorLvl.:,1
,
#Stories:,2
%Own.Occ.:,
%Cmn.Own.:,
Fees/Approvals:,
