,Key,Value
0,MLS#:,09077898
1,ListPrice:,"$300,000"
2,Status:,PCHG
3,ListDate:,11/02/2015
4,OrigListPrice:,"$325,000"
5,Area:,67 
6,ListDtRec:,11/02/2015
7,SoldPrice:,
8,,SPIncl. Parking:
9,Yes,Address:
10,"1446 E Katie Ln , Palatine, Illinois 60067",Directions:
11,Northwest Hwy E of 53 to  Williams or to Katie,Lst.Mkt.Time:
12,51,Closed:
13,Contract:,Points:
14,OffMkt:,Financing:
15,Contingency:,YearBuilt:
16,2005,BltBefore78:
17,No,Curr.Leased:
18,"No
					 ",Dimensions:
19,COMMON,
20,Ownership:,Fee Simple w/ HO Assn.
21,Subdivision:,Arlington Station
22,Model:,CorpLimits:
23,Palatine,Township:
24,Palatine,County:
25,Cook,Coordinates:
26,"
												N:14   W:19
					",
27,#Fireplaces:,1
28,Rooms:,7
29,Bathrooms (Full/Half):,2/2
30,Parking:,Garage
31,Bedrooms:,3
32,MasterBath:,Full
33,#Spaces:,"
													Gar:2																		"
34,Basement:,Full
35,Bsmnt.Bath:,Yes
36,ParkingIncl. InPrice:,Yes
37,Waterfront:,No
38,AppxSF:,2120
39,SFSource:,Assessor
40,TotalUnits:,4
41,UnitFloorLvl.:,1
42,#Stories:,2
43,0,%Own.Occ.:
44,%Cmn.Own.:,Fees/Approvals:
